tiempo actual: 22.1 ocurrencia numero: 0
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
85,1,170,0,0,213.4,125.32,182,0
86,1,170,0,0,226.6,312.855,182,0
87,1,170,0,0,110.2,238.554,182,0
88,1,170,0,0,341.584,210.2,182,0
89,1,172,0,0,210.2,105.432,182,0
90,1,172,0,0,229.8,325.984,182,0
91,1,180,0,0,210.2,34.3337,182,0
92,1,180,0,0,229.8,405.569,182,0
93,1,180,0,0,34.0774,229.8,182,0
94,1,180,0,0,405.656,210.2,182,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 188.1 ocurrencia numero: 34
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
85,1,170,1,0,213.4,178.472,187,1
86,1,170,0,0,226.6,270.398,187,0
87,1,170,0,0,110.2,282.65,187,0
88,1,170,0,0,329.8,179.363,187,0
89,1,172,0,0,210.2,151.59,187,0
90,1,172,0,0,228.307,286.814,187,0
91,1,180,0,0,210.2,75.8327,187,0
92,1,180,0,0,229.8,361.319,187,0
93,1,180,0,0,76.2495,229.8,187,0
94,1,180,0,0,361.961,210.2,187,0
paquetes recibidos, entidades en rango 
1,4

tiempo actual: 193.1 ocurrencia numero: 35
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
95,1,190,0,0,210.2,34.4695,192,0
96,1,190,0,0,229.8,405.685,192,0
97,1,190,0,0,34.1636,229.8,192,0
98,1,190,0,0,405.84,210.2,192,0
99,1,192,0,0,0,0,0,0
100,1,192,0,0,0,0,0,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 198.1 ocurrencia numero: 36
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
95,1,190,0,0,213.4,79.7443,197,0
96,1,190,0,0,226.6,361.902,197,0
97,1,190,0,0,78.0065,229.8,197,0
98,1,190,0,0,366.306,210.2,197,0
99,1,192,0,0,210.2,55.3738,197,0
100,1,192,0,0,229.8,385.262,197,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 203.1 ocurrencia numero: 37
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
95,1,190,0,0,213.4,131.087,202,0
96,1,190,0,0,226.6,312.885,202,0
97,1,190,0,0,110.2,264.049,202,0
98,1,190,0,0,329.8,196.089,202,0
99,1,192,0,0,210.2,115.263,202,0
100,1,192,0,0,229.8,332.372,202,0
101,1,200,0,0,210.2,34.1752,202,0
102,1,200,0,0,229.8,405.701,202,0
103,1,200,0,0,34.2201,229.8,202,0
104,1,200,0,0,405.667,210.2,202,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 208.1 ocurrencia numero: 38
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
95,1,190,1,0,213.4,185.766,207,1
96,1,190,0,0,226.6,282.687,207,0
97,1,190,0,0,111.156,328.193,207,0
98,1,190,0,0,329.8,147.612,207,0
99,1,192,0,0,210.2,165.999,207,0
100,1,192,0,0,229.8,294.176,207,0
101,1,200,0,0,210.2,74.7747,207,0
102,1,200,0,0,229.8,361.486,207,0
103,1,200,0,0,74.3279,229.8,207,0
104,1,200,0,0,363.191,210.2,207,0
paquetes recibidos, entidades en rango 
1,4

tiempo actual: 213.1 ocurrencia numero: 39
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
105,1,210,0,0,210.2,34.3923,212,0
106,1,210,0,0,229.8,405.802,212,0
